No.,Price,Measure,Name (EN),Name (DE),Name (ZH),Description (EN),Description (DE),Description (ZH),Recommended,Spicy,Vegan,Vegetarian,Gluten Free
,,,STARTERS,VORSPEISEN,前菜,,,,,,,,
1,7.5,,Cucumber Salad,Gurkensalat,拍黃瓜,Smashed cucumber with garlic and sesame,Gurke mit Knoblauch und Sesam,蒜香芝麻拍黃瓜,,X,X,,X
2,9,,Vegetable Dumplings - 6 pcs.,Gemüse-Teigtaschen - 6 Stk.,素餃子,"Steamed, filled with cabbage and mushrooms","Gedämpft, gefüllt mit Kohl und Pilzen",,X,,X,,
3,8.5,,Chicken Satay - 3 pcs.,Poulet-Satay - 3 Stk.,沙嗲雞串,Grilled skewers with peanut sauce,Grillspiesse mit Erdnusssauce,,X,,,,X
,,,NOODLES (Hand-pulled every day),NUDELN (Täglich von Hand gezogen),麵食,,,,,,,,
10,19.5,,Dan Dan Noodles,Dan-Dan-Nudeln,擔擔麵,Noodles with minced pork and chilli oil,Nudeln mit Schweinehack und Chiliöl,,X,X,,,
11,18,,Vegetable Fried Noodles,Gebratene Gemüsenudeln,素炒麵,Wok-fried with seasonal vegetables,Im Wok gebraten mit Saisongemüse,,,,X,,
12,21,,Beef Noodle Soup,Rindfleisch-Nudelsuppe,牛肉麵,Slow-braised beef in a rich broth,Geschmortes Rindfleisch in kräftiger Brühe,,,X,,,
,,,RICE,REIS,飯類,,,,,,,,
20,17.5,,Egg Fried Rice,Gebratener Reis mit Ei,蛋炒飯,,,,,,,X,X
21,22.5,,Coconut Curry with Tofu,Kokos-Curry mit Tofu,椰汁豆腐咖哩,"Mild yellow curry with vegetables, served with rice","Mildes gelbes Curry mit Gemüse, dazu Reis",,X,,X,,X
,4,,Jasmine Rice,Jasminreis,白飯,,,,,,X,,X
,,,DESSERT,DESSERT,甜品,,,,,,,,
30,6.5,,Mango Pudding,Mangopudding,芒果布甸,,,,,,,X,X
,5.5,,Sesame Balls - 2 pcs.,Sesambällchen - 2 Stk.,芝麻球,Fried glutinous rice balls with red bean paste,Frittierte Klebreisbällchen mit roter Bohnenpaste,,,,X,,
